condition,seed,data_label,samples_per_anchor_source,gradient_updates,method,candidate_count,do_mae,do_rmse,signed_error,underestimation_fraction,mean_positive_slack,top_action_disagreement,strict_flip,selected_action_0_fraction,selected_action_1_fraction,selected_action_2_fraction,regret_mean,regret_median,regret_conditional_mean,regret_p90,regret_max,phi_mae,phi_signed_bias,regret_cvar90,regret_p95
confounded,0,n64,64,2000,source_3,28,2.929209411642724,3.9352080708900656,2.435330814747624,0.17857142857142858,2.6822701131951745,0.948051948051948,0.948051948051948,0.07792207792207792,0.012987012987012988,0.05194805194805195,0.7156013566828178,0.39017808414348565,0.7548123899257119,1.7550523076500895,6.125866202193208,4.5311397302317555,4.496137492981665,2.7534961426447992,2.473797107792973
confounded,0,n64,64,2000,pooled_balanced,28,2.7439838801508643,3.5242008100195865,2.5153222912237063,0.11966604823747681,2.6296530856872855,0.935064935064935,0.935064935064935,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.6398236149442866,0.38793637174052265,0.6842558104265287,1.448661852580166,4.405025212140401,4.7902760942006175,4.7902760942006175,2.6146575384523913,2.4373512623804006
confounded,0,n64,64,2000,state_level_min,28,2.084652025690538,2.692785058923815,1.0916633217113891,0.287569573283859,1.5881576737009633,0.948051948051948,0.948051948051948,0.05194805194805195,0.012987012987012988,0.025974025974025976,0.6552907237150828,0.48778728460337106,0.6911970647405667,1.6759256810983465,2.769374066132684,3.06898410655924,2.87634387427214,2.18165064016236,1.971764616866768
confounded,0,n64,64,2000,action_level_min,28,1.952297962527389,2.55659504350387,0.8713854468519165,0.32142857142857145,1.4118417046896528,0.948051948051948,0.948051948051948,0.06493506493506493,0.0,0.03896103896103896,0.7676230804307402,0.5049454866892802,0.8096846190844794,1.6759256810983465,5.4532333095682475,2.798123073825355,2.590921096689546,2.499610294562782,1.9650782908711402
confounded,1,n64,64,2000,source_1,28,2.9019314328637837,3.7527869653277124,2.298157711987405,0.16326530612244897,2.6000445724255945,0.987012987012987,0.987012987012987,0.012987012987012988,0.0,0.025974025974025976,0.7493031506829216,0.5130194634274403,0.7591624026655917,1.5135070459010886,4.356601442947408,4.1540098232967555,4.001542711612779,2.722253440326906,2.4106080136846706
confounded,1,n64,64,2000,source_2,28,3.0220490217913363,4.038119008765719,2.45425693893819,0.1280148423005566,2.7381529803647626,0.922077922077922,0.922077922077922,0.05194805194805195,0.012987012987012988,0.05194805194805195,0.721739081966028,0.5680971836661115,0.7827311170617487,1.6332561100835283,3.432288618904124,4.806002999883872,4.741150827551419,2.2077703534448787,1.812363089188967
confounded,1,n64,64,2000,source_3,28,3.003908442394638,4.058848681217561,2.379254677762019,0.11873840445269017,2.691581560078328,0.8701298701298701,0.8701298701298701,0.09090909090909091,0.012987012987012988,0.05194805194805195,0.7076374529846383,0.40123708185905116,0.813254983280853,1.6097192396229847,5.832075712184462,4.1623084058955495,3.8525882717488504,3.0872001573419077,2.808077344739407
confounded,1,n64,64,2000,pooled_balanced,28,2.8907153070552067,3.5040315666501636,2.010552072869348,0.1590909090909091,2.4506336899622774,0.948051948051948,0.948051948051948,0.05194805194805195,0.012987012987012988,0.025974025974025976,0.7288431296546652,0.5035556963713361,0.7687797394987564,1.6889072530256273,3.757848592024402,3.969734833947551,3.371089435570798,2.3087969471029055,2.055569190428629
confounded,1,n64,64,2000,state_level_min,28,2.047207631872709,2.717847309397086,0.8163341431641582,0.2592764378478664,1.4317708875184338,0.974025974025974,0.974025974025974,0.06493506493506493,0.012987012987012988,0.025974025974025976,0.7453228857516044,0.5680971836661115,0.7651981627049806,1.4948428795892374,3.757848592024402,2.8324810897616164,2.391727506513222,2.397409099741335,1.812363089188967
confounded,1,n64,64,2000,action_level_min,28,1.9315405923246405,2.622443756896237,0.5959376874266424,0.2894248608534323,1.2637391398756415,0.974025974025974,0.974025974025974,0.05194805194805195,0.012987012987012988,0.025974025974025976,0.7810210071152981,0.5540574631666573,0.8018482339717061,1.5083853841945492,5.849522614672367,2.7075868446788816,2.2573535776482383,2.9132662941822254,2.2444734034506704
confounded,2,n64,64,2000,source_1,28,2.762730048224972,3.388173479393268,1.9196129735019478,0.1614100185528757,2.34117151086346,0.935064935064935,0.935064935064935,0.012987012987012988,0.0,0.0,0.6290234975162562,0.46051584433720905,0.6727056848437739,1.4819182007398473,3.0292301925687752,4.002548490674268,3.6181180958461607,2.0048490734260334,1.7772912802486418
confounded,2,n64,64,2000,source_2,28,2.782976204010969,3.5736312447220278,2.2609842265765,0.1414656771799629,2.521980215293735,0.935064935064935,0.935064935064935,0.05194805194805195,0.0,0.012987012987012988,0.7715261050755069,0.540023678346472,0.8251043068168615,1.524089986017771,4.256101748021649,4.149902957567851,3.9403602769772395,2.632437650424965,2.216954116389026
confounded,2,n64,64,2000,source_3,28,3.2718344051993524,4.40954080513369,2.8744630852214477,0.12198515769944342,3.0731487452104007,0.9090909090909091,0.9090909090909091,0.07792207792207792,0.03896103896103896,0.09090909090909091,0.6914689086465657,0.45108162539020213,0.7606157995112223,1.618246668253858,3.7963959725670975,4.76843862310087,4.498502180851177,2.5658083807519,2.308495022627434
confounded,2,n64,64,2000,pooled_balanced,28,2.604661215589245,3.2845499484823018,2.2134685884438285,0.1442486085343228,2.409064902016537,0.987012987012987,0.987012987012987,0.06493506493506493,0.0,0.025974025974025976,0.7010265487609925,0.4637641648292856,0.7102505822973213,1.6820826091139793,2.9680366510507667,3.9333694611502557,3.871898150416928,2.1936842931249743,1.9130705016383802
confounded,2,n64,64,2000,state_level_min,28,2.007363532719149,2.6890805839283023,0.6973061353615044,0.2917439703153989,1.3523348340403267,0.922077922077922,0.922077922077922,0.03896103896103896,0.0,0.012987012987012988,0.7693333191564602,0.5182221864528174,0.8343474024654568,1.7658312868017334,4.256101748021649,2.8355243645979846,2.098291617252437,2.694510786193611,2.266851663749413
confounded,2,n64,64,2000,action_level_min,28,1.8964303611691766,2.6065083582350983,0.4990826389590654,0.3209647495361781,1.1977565000641208,0.922077922077922,0.922077922077922,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.6971749813811767,0.421093097873495,0.7560911769908536,1.618246668253858,4.256101748021649,2.7243120800093044,1.9870793326637564,2.662198516770097,2.4224762411759917
confounded,0,n128,128,4000,source_1,28,3.0940214150160705,4.1993521354635615,2.611210689930958,0.15120593692022263,2.8526160524735142,0.8961038961038961,0.8961038961038961,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.4999820710842196,0.41639932814507574,0.5579510068621001,1.0313260254662397,4.193239041829344,4.546196509179425,4.457746516480631,1.7170828546944499,1.2520865950833242
confounded,0,n128,128,4000,source_2,28,2.2707458285365036,2.8441052495967516,1.9575709220270452,0.11085343228200371,2.1141583752817747,0.961038961038961,0.961038961038961,0.03896103896103896,0.03896103896103896,0.06493506493506493,0.5632990193344141,0.37148247643671084,0.5861354660641875,1.2097595503458707,3.2358155143235194,3.4393587177877945,3.3486969518230936,1.903958532855622,1.5588227769908611
