action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
plus,confounded,neural_approximation_error,0.0,0.0,0.023277559017042475,0.13061633768160652,0.13061633768160652,,,,-0.003935064975928215,-0.1112697875292481,logger1_heavy,2,78,,0.0477059889844388,action_error,0.034822181967768547,0.0005902305542502689
plus,confounded,total_neural_do_error,0.0,0.0,0.02327755901704245,0.13061633768160652,0.13061633768160652,,,,-0.003935064975927993,-0.1112697875292481,logger1_heavy,2,78,,0.04770598898443893,action_error,0.03482218196776854,0.0005902305542504752
minus,confounded,population_causal_bias,0.0,0.0,1.0959893961043213e-16,4.440892098500626e-16,8.881784197001252e-16,,,,0.0,-8.881784197001252e-16,logger12_balanced,0,78,,4.440892098500626e-16,action_error,2.280136661137617e-16,-4.270088556250602e-18
minus,confounded,neural_approximation_error,0.0,0.0,0.022964648480417484,0.1164451103058366,0.19610435887102717,,,,-0.00025279808962008765,-0.19610435887102717,logger12_balanced,0,78,,0.06317292263003009,action_error,0.04069653453504491,-0.0034695578018040926
minus,confounded,total_neural_do_error,0.0,0.0,0.022964648480417484,0.11644511030583704,0.19610435887102717,,,,-0.00025279808962008765,-0.19610435887102717,logger12_balanced,0,78,,0.06317292263003009,action_error,0.04069653453504494,-0.0034695578018040965
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.02196777373158132,0.1006791946615393,0.19327080831482712,,,,-0.0004518454839019803,-0.19327080831482712,logger12_balanced,0,78,,0.0591529613464254,action_error,0.039292976414880464,-0.0032220811462109625
base,confounded,total_neural_do_error,0.0,0.0,0.02196777373158131,0.1006791946615393,0.19327080831482712,,,,-0.0004518454839019803,-0.19327080831482712,logger12_balanced,0,78,,0.0591529613464254,action_error,0.03929297641488045,-0.00322208114621094
plus,confounded,population_causal_bias,0.0,0.0,4.369723955896449e-16,8.881784197001252e-16,8.881784197001252e-16,,,,4.440892098500626e-16,0.0,logger12_balanced,0,78,,8.881784197001252e-16,action_error,5.110923202727795e-16,4.369723955896449e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.022783186735524732,0.08795104844548751,0.18571018413641438,,,,0.0031052432577185485,-0.18571018413641438,logger12_balanced,0,78,,0.05397021494443509,action_error,0.0381634441188973,-0.0031371088496662458
plus,confounded,total_neural_do_error,0.0,0.0,0.02278318673552483,0.08795104844548796,0.18571018413641394,,,,0.0031052432577192146,-0.18571018413641394,logger12_balanced,0,78,,0.05397021494443553,action_error,0.03816344411889728,-0.0031371088496658086
minus,confounded,population_causal_bias,0.0,0.0,1.0959893961043213e-16,4.440892098500626e-16,8.881784197001252e-16,,,,0.0,-8.881784197001252e-16,logger12_balanced,1,78,,4.440892098500626e-16,action_error,2.280136661137617e-16,-4.270088556250602e-18
minus,confounded,neural_approximation_error,0.0,0.0,0.02483995481536093,0.08951314844734037,0.1775090325332087,,,,-0.0018947235165156506,-0.1775090325332087,logger12_balanced,1,78,,0.054368558926095316,action_error,0.03799179081468179,-0.004504882045603626
minus,confounded,total_neural_do_error,0.0,0.0,0.024839954815360905,0.08951314844734082,0.1775090325332087,,,,-0.0018947235165156506,-0.1775090325332087,logger12_balanced,1,78,,0.05436855892609563,action_error,0.037991790814681785,-0.004504882045603629
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.02574699370810733,0.09727125607610398,0.17365176336821442,,,,-0.0018594748138982542,-0.17365176336821442,logger12_balanced,1,78,,0.06239285451110414,action_error,0.0383987209371644,-0.0038950708187046232
base,confounded,total_neural_do_error,0.0,0.0,0.025746993708107315,0.09727125607610398,0.17365176336821442,,,,-0.0018594748138982542,-0.17365176336821442,logger12_balanced,1,78,,0.06239285451110414,action_error,0.038398720937164385,-0.0038950708187046003
