condition,kappa,lambda_reward,mixture,model_seed,n_anchors,neural_calibration_mae,neural_gap_absolute_error,nn_do_rank_error,nn_obs_rank_error,nn_regret,obs_do_rank_error,obs_regret,random_action_regret
confounded,0.3,0.1,logger2_heavy,0,78,0.039115620578879184,0.029854382605964267,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger2_heavy,1,78,0.044801086435780575,0.03440569519180261,0.9487179487179487,0.02564102564102564,0.005293913188671933,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.1,logger2_heavy,2,78,0.04151116338344797,0.0358023138091326,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
independent_latents,0.3,0.1,logger1_heavy,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger1_heavy,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger1_heavy,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger12_balanced,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger12_balanced,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger12_balanced,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger2_heavy,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger2_heavy,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.1,logger2_heavy,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
confounded,0.3,0.2,logger1_heavy,0,78,0.07780072573893752,0.06981338710041039,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.2,logger1_heavy,1,78,0.08223268368883536,0.06890166293586568,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.2,logger1_heavy,2,78,0.07012050494852566,0.05700929865506255,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.2,logger12_balanced,0,78,0.06437109287456662,0.054982652190927885,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.2,logger12_balanced,1,78,0.07701325818889929,0.06829831319151701,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
confounded,0.3,0.2,logger12_balanced,2,78,0.0710942582914381,0.06580668010874986,0.9487179487179487,0.0,0.0054403672426722085,0.9487179487179487,0.0054403672426722085,0.0027819140424818647
