absolute_gap_error,aggregate_margin_ratio,condition,kappa,lambda_reward,matched_aggregate_gap_ratio,mean_margin_do,mean_margin_on_do_pair,mean_matched_gap_difference,median_absolute_gap_error,mixture,model_seed,n_anchors,n_matching_top_sets,n_non_tied_do_pairs,overconfident_fraction,p90_absolute_gap_error,pearson_true_margin,sign_preservation_rate,signed_gap_error,source,spearman_true_margin,underconfident_fraction
2.4197168485420076e-16,1.000000000000038,independent_latents,0.0,0.0,,0.0029923784019148868,0.0029923784019150004,,2.220446049250313e-16,logger2_heavy,0,78,,78,,4.440892098500626e-16,1.0,1.0,1.138690281666827e-16,observational,0.9999999999999999,
0.005481594835794472,0.5432359343222832,independent_latents,0.0,0.0,1.9310783190128868,0.0029923784019148868,0.0016255674770100541,0.0031379935128842723,0.004105393750046815,logger2_heavy,0,78,42,78,0.8095238095238095,0.012445538079450324,0.2889439805789308,0.5897435897435898,-0.0013668109249048326,neural,0.24634858812074,0.19047619047619047
2.4197168485420076e-16,1.000000000000038,independent_latents,0.0,0.0,,0.0029923784019148868,0.0029923784019150004,,2.220446049250313e-16,logger2_heavy,1,78,,78,,4.440892098500626e-16,1.0,1.0,1.138690281666827e-16,observational,0.9999999999999999,
0.00524900489556412,1.1017243330170126,independent_latents,0.0,0.0,2.15420171122125,0.0029923784019148868,0.0032967760989841923,0.003593165292824776,0.004278307667950232,logger2_heavy,1,78,52,78,0.75,0.009734336689076039,0.13760050023513426,0.6794871794871795,0.00030439769706930585,neural,0.17148674110699424,0.25
2.4197168485420076e-16,1.000000000000038,independent_latents,0.0,0.0,,0.0029923784019148868,0.0029923784019150004,,2.220446049250313e-16,logger2_heavy,2,78,,78,,4.440892098500626e-16,1.0,1.0,1.138690281666827e-16,observational,0.9999999999999999,
0.006223436320094385,0.47087971989686855,independent_latents,0.0,0.0,1.8546428434472337,0.0029923784019148868,0.001409050303719121,0.002939039545559599,0.00423276103225434,logger2_heavy,2,78,43,78,0.6744186046511628,0.014408957238089925,0.22655624374171834,0.6282051282051282,-0.0015833280981957655,neural,0.22356124887770454,0.32558139534883723
0.0382621082621082,-9.844264358203109,confounded,0.0,0.05,,0.0029923784019148868,-0.0294577640482275,,0.037777777777777743,logger1_heavy,0,78,,78,,0.03777777777777791,-0.1200370243614452,0.0641025641025641,-0.0324501424501424,observational,0.7196980234954918,
0.03264728940054454,-8.020927397957115,confounded,0.0,0.05,13.488557804744993,0.0029923784019148868,-0.02400164990897424,0.025880380579541007,0.03446741335336956,logger1_heavy,0,78,6,78,1.0,0.04299294291886084,-0.06579098522727256,0.08974358974358974,-0.026994028310889123,neural,0.09106083789628093,0.0
0.0382621082621082,-9.844264358203109,confounded,0.0,0.05,,0.0029923784019148868,-0.0294577640482275,,0.037777777777777743,logger1_heavy,1,78,,78,,0.03777777777777791,-0.1200370243614452,0.0641025641025641,-0.0324501424501424,observational,0.7196980234954918,
0.029950436105317835,-7.032946778005279,confounded,0.0,0.05,12.311221838670992,0.0029923784019148868,-0.021045238040319887,0.02323245301023848,0.029824910608638677,logger1_heavy,1,78,7,78,1.0,0.041789844561101304,-0.18956973054304949,0.10256410256410256,-0.02403761644223477,neural,-0.10954867916893232,0.0
0.0382621082621082,-9.844264358203109,confounded,0.0,0.05,,0.0029923784019148868,-0.0294577640482275,,0.037777777777777743,logger1_heavy,2,78,,78,,0.03777777777777791,-0.1200370243614452,0.0641025641025641,-0.0324501424501424,observational,0.7196980234954918,
0.030008222390634016,-7.1884420372659115,confounded,0.0,0.05,21.430362903345,0.0029923784019148868,-0.021510538695731562,0.04039839950485585,0.02921966753864047,logger1_heavy,2,78,4,78,1.0,0.041141198280124275,-0.12407255507022101,0.07692307692307693,-0.02450291709764645,neural,-0.06147017539422602,0.0
0.030384615384615267,-7.6116216962200856,confounded,0.0,0.05,,0.0029923784019148868,-0.02277685236731574,,0.029999999999999805,logger12_balanced,0,78,,78,,0.03000000000000025,-0.09663542607805926,0.0641025641025641,-0.02576923076923063,observational,0.7196980234954918,
0.026645491860246152,-6.2891039880405515,confounded,0.0,0.05,7.6548573320372,0.0029923784019148868,-0.018819378941209327,0.018111770910373144,0.0283409032071702,logger12_balanced,0,78,7,78,0.7142857142857143,0.035648622154581464,-0.06341057766948634,0.10256410256410256,-0.021811757343124214,neural,0.027731761908977096,0.2857142857142857
0.030384615384615267,-7.6116216962200856,confounded,0.0,0.05,,0.0029923784019148868,-0.02277685236731574,,0.029999999999999805,logger12_balanced,1,78,,78,,0.03000000000000025,-0.09663542607805926,0.0641025641025641,-0.02576923076923063,observational,0.7196980234954918,
0.02610683062931589,-6.086960280566042,confounded,0.0,0.05,15.074137123582272,0.0029923784019148868,-0.018214488476879603,0.02796064444414519,0.027055058505576657,logger12_balanced,1,78,5,78,1.0,0.034663839950561236,-0.07375032357548389,0.08974358974358974,-0.021206866878794486,neural,0.06741359905916867,0.0
0.030384615384615267,-7.6116216962200856,confounded,0.0,0.05,,0.0029923784019148868,-0.02277685236731574,,0.029999999999999805,logger12_balanced,2,78,,78,,0.03000000000000025,-0.09663542607805926,0.0641025641025641,-0.02576923076923063,observational,0.7196980234954918,
