setting,lambda_reward,condition,seed,method,calibration_budget,do_mae,top_set_disagreement,mean_regret,selected_rank,calibration_replicates
M2_diverse,0.0,confounded,1,pooled_rank0,0,0.02879839749755856,0.4805194805194805,0.0023304461900889883,0.0,5
M2_diverse,0.0,confounded,1,pooled_rank0,16,0.03152460482311932,0.7246753246753246,0.003422782124854925,0.0,5
M2_diverse,0.0,confounded,1,pooled_rank0,64,0.030202281149693228,0.7922077922077921,0.003153629305985342,0.0,5
M2_diverse,0.0,confounded,2,MSCSC_correct_source,0,0.02955288091955129,0.42857142857142855,0.00159659050065723,0.0,5
M2_diverse,0.0,confounded,2,MSCSC_correct_source,16,0.049351005046700196,0.3766233766233766,0.001258723551433033,0.4,5
M2_diverse,0.0,confounded,2,MSCSC_correct_source,64,0.03283313653462293,0.46493506493506487,0.0017814431621356157,0.6,5
M2_diverse,0.0,confounded,2,MSCSC_source_shuffle,0,0.02918191984593193,0.4545454545454545,0.0018285900101120598,0.0,5
M2_diverse,0.0,confounded,2,MSCSC_source_shuffle,16,0.04374808128444291,0.38181818181818183,0.0011738418593326063,0.2,5
M2_diverse,0.0,confounded,2,MSCSC_source_shuffle,64,0.03180204709159752,0.41558441558441556,0.0015090079606001046,0.2,5
M2_diverse,0.0,confounded,2,pooled_rank0,0,0.03005345720728017,0.4805194805194805,0.0019921107102050203,0.0,5
M2_diverse,0.0,confounded,2,pooled_rank0,16,0.04089940218674759,0.3116883116883117,0.0009322449161754126,0.0,5
M2_diverse,0.0,confounded,2,pooled_rank0,64,0.03185926991957242,0.4025974025974026,0.001485508490255525,0.0,5
M2_diverse,0.01,confounded,0,MSCSC_correct_source,0,0.025110665849540435,0.5584415584415584,0.003031502300997356,0.0,5
M2_diverse,0.01,confounded,0,MSCSC_correct_source,16,0.04005297113841476,0.6675324675324674,0.0023399334240582336,0.8,5
M2_diverse,0.01,confounded,0,MSCSC_correct_source,64,0.03009009892231862,0.35324675324675325,0.0013851179275176846,0.4,5
M2_diverse,0.01,confounded,0,MSCSC_source_shuffle,0,0.024611151101482334,0.5714285714285714,0.0028022846047931556,0.0,5
M2_diverse,0.01,confounded,0,MSCSC_source_shuffle,16,0.034684891478316125,0.6285714285714286,0.0020251975961343275,0.6,5
M2_diverse,0.01,confounded,0,MSCSC_source_shuffle,64,0.031235567813937055,0.41818181818181815,0.0015027116272121176,0.2,5
M2_diverse,0.01,confounded,0,pooled_rank0,0,0.026629946953122312,0.5714285714285714,0.0027143415294865227,0.0,5
M2_diverse,0.01,confounded,0,pooled_rank0,16,0.031110614765707346,0.5766233766233766,0.0018377102743483496,0.0,5
M2_diverse,0.01,confounded,0,pooled_rank0,64,0.030834523417688088,0.35584415584415585,0.0014686298967643632,0.0,5
M2_diverse,0.01,confounded,1,MSCSC_correct_source,0,0.02876417843794002,0.6623376623376623,0.003334071774098408,0.0,5
M2_diverse,0.01,confounded,1,MSCSC_correct_source,16,0.03872051331557488,0.6805194805194805,0.002917742315456971,0.4,5
M2_diverse,0.01,confounded,1,MSCSC_correct_source,64,0.03193427604489778,0.7688311688311689,0.0028193021144986576,0.2,5
M2_diverse,0.01,confounded,1,MSCSC_source_shuffle,0,0.029848674182125064,0.6753246753246753,0.003502220540161359,0.0,5
M2_diverse,0.01,confounded,1,MSCSC_source_shuffle,16,0.03268859056875368,0.761038961038961,0.0036374201866165275,0.0,5
M2_diverse,0.01,confounded,1,MSCSC_source_shuffle,64,0.035206376881017645,0.6701298701298701,0.002652445847806447,0.4,5
M2_diverse,0.01,confounded,1,pooled_rank0,0,0.02728472783684479,0.7012987012987013,0.003949891395925607,0.0,5
M2_diverse,0.01,confounded,1,pooled_rank0,16,0.030805286437775598,0.7740259740259741,0.0036373058811192136,0.0,5
M2_diverse,0.01,confounded,1,pooled_rank0,64,0.030111277178644848,0.8051948051948052,0.0029217303548510405,0.0,5
M2_diverse,0.01,confounded,2,MSCSC_correct_source,0,0.0293274507674536,0.5844155844155844,0.0025201872738209153,0.0,5
M2_diverse,0.01,confounded,2,MSCSC_correct_source,16,0.04636895997768936,0.39480519480519477,0.0012325885427921345,0.2,5
M2_diverse,0.01,confounded,2,MSCSC_correct_source,64,0.03252045034395592,0.3116883116883117,0.0009851567875584911,0.2,5
M2_diverse,0.01,confounded,2,MSCSC_source_shuffle,0,0.029242958846053442,0.5844155844155844,0.002514286863491755,0.0,5
