kappa,lambda_reward,condition,mixture,seed,method,split,scope,observational_nll,mae,rmse,signed_bias,logger_id
0.0,0.0,confounded,logger1_heavy,2,source_conditioned_decoder,test,source,,0.012041871831617538,0.017667124134433252,0.0004007066521655872,2
0.0,0.0,confounded,logger1_heavy,2,per_source_models,validation,mixture,-2.223002584747296,0.014261420599409292,0.020922144080282756,-0.002515326719626605,
0.0,0.0,confounded,logger1_heavy,2,per_source_models,test,mixture,-2.250859175245732,0.014164299367105419,0.01912470194546588,-0.0013627657631190874,
0.0,0.0,confounded,logger1_heavy,2,per_source_models,test,source,,0.015400133352707623,0.020639794160470865,-0.0014598039854424858,0
0.0,0.0,confounded,logger1_heavy,2,per_source_models,test,source,,0.009978543616115795,0.013800001206491705,0.0014794967165332575,1
0.0,0.0,confounded,logger1_heavy,2,per_source_models,test,source,,0.013426600203026504,0.019503293858168146,-0.0034287224641840557,2
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,validation,mixture,-2.2776499451793657,0.010796189257632057,0.018914617210562288,0.00043068514260717616,
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,test,mixture,-2.3146851506753388,0.010600671396790174,0.016263318968321873,0.0012416246072891484,
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,test,source,,0.010628741657963818,0.01627818894441252,0.001219636525576884,0
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,test,source,,0.010628728199010132,0.016278179548258852,0.0012196321804013965,1
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,test,source,,0.010348052505181199,0.01612888176296694,0.00143952168787508,2
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,validation,mixture,-2.246020754070741,0.012962759620511875,0.020036698045145393,-0.003205913859221621,
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,test,mixture,-2.2824134006850985,0.011661524443138258,0.01759184876314163,-0.003593227226842817,
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,test,source,,0.011731490021410567,0.017659057238574628,-0.0036198457461525647,0
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,test,source,,0.011537147124871121,0.017492562046725068,-0.0035737047748353487,1
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,test,source,,0.011334485321399568,0.01724247669628675,-0.003399801524372212,2
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,validation,mixture,-2.2811799672342925,0.010200876319015334,0.018282692936583054,0.00032017351396741744,
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,test,mixture,-2.3003095735127124,0.010757440410437736,0.016891325432446893,0.0016042185626456325,
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,test,source,,0.010796319935665174,0.01692562332037132,0.001593050914501889,0
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,test,source,,0.010796284730911187,0.016925599494927657,0.0015930594072181014,1
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,test,source,,0.01040755988814492,0.01657947624190133,0.0017047189032230892,2
0.0,0.0,confounded,logger1_heavy,2,no_behavior,validation,mixture,-2.2636709503500083,0.011879900133831296,0.01960775553329258,0.002249373128091356,
0.0,0.0,confounded,logger1_heavy,2,no_behavior,test,mixture,-2.305006266465736,0.011451962694509526,0.01671385987329528,0.002731518782187741,
0.0,0.0,confounded,logger1_heavy,2,no_behavior,test,source,,0.011464966252162851,0.0167282081077512,0.002717546350902189,0
0.0,0.0,confounded,logger1_heavy,2,no_behavior,test,source,,0.011464966252162832,0.016728208107751198,0.002717546350902168,1
