kappa,lambda_reward,condition,mixture,seed,method,action,anchor_id,prediction,mae,rmse,signed_bias
0.0,0.0,confounded,logger1_heavy,4,no_behavior,plus,,,0.012327090538583954,0.018524690933032936,0.004720362898263875
0.0,0.0,confounded,logger1_heavy,4,source_dependent_reward,all,,,0.010531975614769274,0.016421901852126806,0.0022460519308906777
0.0,0.0,confounded,logger1_heavy,4,source_dependent_reward,minus,,,0.010267233340969002,0.016392020162364195,0.002211199854334937
0.0,0.0,confounded,logger1_heavy,4,source_dependent_reward,base,,,0.010463861714699091,0.016291965245394915,0.002315851230105225
0.0,0.0,confounded,logger1_heavy,4,source_dependent_reward,plus,,,0.010864831788639737,0.01658041388995303,0.002211104708231871
0.0,0.0,confounded,logger12_balanced,0,pooled_mlp,all,,,0.01362215542170274,0.018663659297718762,0.006841582436266978
0.0,0.0,confounded,logger12_balanced,0,pooled_mlp,minus,,,0.013170243735224246,0.018330732627088616,0.0061850733603279985
0.0,0.0,confounded,logger12_balanced,0,pooled_mlp,base,,,0.013617007861429798,0.018624470393780027,0.006928562971921305
0.0,0.0,confounded,logger12_balanced,0,pooled_mlp,plus,,,0.01407921466845418,0.019029184928666072,0.00741111097655163
0.0,0.0,confounded,logger12_balanced,0,source_balanced_pooled_mlp,all,,,0.01362215542170274,0.018663659297718762,0.006841582436266978
0.0,0.0,confounded,logger12_balanced,0,source_balanced_pooled_mlp,minus,,,0.013170243735224246,0.018330732627088616,0.0061850733603279985
0.0,0.0,confounded,logger12_balanced,0,source_balanced_pooled_mlp,base,,,0.013617007861429798,0.018624470393780027,0.006928562971921305
0.0,0.0,confounded,logger12_balanced,0,source_balanced_pooled_mlp,plus,,,0.01407921466845418,0.019029184928666072,0.00741111097655163
0.0,0.0,confounded,logger12_balanced,0,source_conditioned_decoder,all,,,0.011479664874865375,0.016635648039121993,-0.0043565396166089345
0.0,0.0,confounded,logger12_balanced,0,source_conditioned_decoder,minus,,,0.011674485108173772,0.01716776310104475,-0.0044682636147478525
0.0,0.0,confounded,logger12_balanced,0,source_conditioned_decoder,base,,,0.011380508147476634,0.0164955719237274,-0.0043812993237076795
0.0,0.0,confounded,logger12_balanced,0,source_conditioned_decoder,plus,,,0.011384001368945719,0.016229552491063108,-0.004220055911371272
0.0,0.0,confounded,logger12_balanced,0,per_source_models,all,,,0.010275918152175618,0.01585179491595705,-0.001016056925325249
0.0,0.0,confounded,logger12_balanced,0,per_source_models,minus,,,0.010353694748950619,0.016042961000739337,-0.0017425860749587057
0.0,0.0,confounded,logger12_balanced,0,per_source_models,base,,,0.010175103845078722,0.015744901223933915,-0.0010204029872385074
0.0,0.0,confounded,logger12_balanced,0,per_source_models,plus,,,0.01029895586249751,0.01576577603386544,-0.00028518171377853434
0.0,0.0,confounded,logger12_balanced,0,mechanism_separated,all,,,0.011128955367826508,0.016406401811588086,-0.0025609777978898808
0.0,0.0,confounded,logger12_balanced,0,mechanism_separated,minus,,,0.011070543442406329,0.016091924752107828,-0.0028024429710508374
0.0,0.0,confounded,logger12_balanced,0,mechanism_separated,base,,,0.011039717069022563,0.016343434911924713,-0.002486636389175717
0.0,0.0,confounded,logger12_balanced,0,mechanism_separated,plus,,,0.011276605592050638,0.016776535824240425,-0.0023938540334430872
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware,all,,,0.012995706662819687,0.017797551876535735,0.0010971811864510107
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware,minus,,,0.012820455571878431,0.017904049462961622,0.00010787455050850814
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware,base,,,0.012923784952668861,0.01765150131935098,0.001167859395418655
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware,plus,,,0.01324287946391176,0.017836145110273025,0.0020158096134258695
0.0,0.0,confounded,logger12_balanced,0,source_shuffle,all,,,0.011514656376018733,0.01624521558919609,0.0011721075742902928
0.0,0.0,confounded,logger12_balanced,0,source_shuffle,minus,,,0.011288554537544833,0.01591793208959073,0.0012147269144300748
0.0,0.0,confounded,logger12_balanced,0,source_shuffle,base,,,0.011522099687629668,0.016214793506648124,0.001179658183083185
0.0,0.0,confounded,logger12_balanced,0,source_shuffle,plus,,,0.011733314902881707,0.016595812669053564,0.001121937625357619
0.0,0.0,confounded,logger12_balanced,0,no_behavior,all,,,0.012072031912880367,0.01639020261344047,0.0058208502886493525
0.0,0.0,confounded,logger12_balanced,0,no_behavior,minus,,,0.011632831322492404,0.016069220836968132,0.0050740245556784285
0.0,0.0,confounded,logger12_balanced,0,no_behavior,base,,,0.011966235226895203,0.0162485962729687,0.005862563435048309
0.0,0.0,confounded,logger12_balanced,0,no_behavior,plus,,,0.012617029189253498,0.016842787357789366,0.00652596287522132
0.0,0.0,confounded,logger12_balanced,0,source_dependent_reward,all,,,0.010377857376434145,0.01679367471749869,0.0004988779601760492
0.0,0.0,confounded,logger12_balanced,0,source_dependent_reward,minus,,,0.01041463148031475,0.017056853075560305,-9.133397749812665e-06
0.0,0.0,confounded,logger12_balanced,0,source_dependent_reward,base,,,0.01027377441431432,0.016703800412942053,0.00046021682097875855
0.0,0.0,confounded,logger12_balanced,0,source_dependent_reward,plus,,,0.010445166234673365,0.016617140141276108,0.001045550457299202
0.0,0.0,confounded,logger12_balanced,1,pooled_mlp,all,,,0.011112626820853129,0.016463438424725068,0.0035975246459361734
