family,subset,metric,action,condition,mixture,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_valid_repetitions,n_all,n_pair_unclipped,clipping_rate,reward_drift_all,reward_drift_clean,delta_drift_all,delta_drift_clean,all_anchors,strict_unclipped_anchors,any_clipping_anchors
action_specific,action_pair_any_clipping,reward_u_effect_abs,minus,do_oracle,none,anchor_id,2000,2,704,0.008857488384659225,0.006761152563769695,0.007220952720812912,0.0012136744901933394,0.003244371587023398,0.013442295019504669,0.01788823175047856,0.031816502130064706,0.008362994427798358,0.00934757919237158,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_u_effect_l2,minus,do_oracle,none,anchor_id,2000,2,704,0.7351348476779869,0.1435427141394401,0.7770429943915905,0.5087308613882408,0.6684181198465768,0.8497714933799208,0.8840646112400715,0.9435304681126566,0.724111713844677,0.7458767538245992,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_drift,minus,confounded,heavy_contrast,anchor_id,2000,2,704,0.006889157632512743,0.005258674216265317,0.005616296560632339,0.0009439690479281726,0.0025234001232404824,0.0104551183485041,0.01391306913926116,0.024746168323383166,0.0065045512216209515,0.007270339371844573,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_drift,minus,independent_latents,heavy_contrast,anchor_id,2000,2,704,4.731064025391292e-18,5.961870937446267e-17,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,9.462128050782583e-19,9.462128050782583e-18,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_drift,minus,confounded,heavy_contrast,anchor_id,2000,2,704,0.5717715481939897,0.1116443332195645,0.6043667734156815,0.39567955885752054,0.5198807598806707,0.6609333837399383,0.6876058087422777,0.7338570307542884,0.5631979996569714,0.5801263640857994,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_drift,minus,independent_latents,heavy_contrast,anchor_id,2000,2,704,1.8309392795400874e-16,1.9124506107364246e-16,1.1992900838120973e-16,7.980192067909155e-18,2.8783407268891894e-17,2.3901142627834935e-16,4.441031380140372e-16,9.425919751379393e-16,1.6915130824092627e-16,1.9771277141769352e-16,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_7_over_9_identity_residual_abs,minus,confounded,heavy_contrast,anchor_id,2000,2,704,1.7149196531625135e-16,1.6450945985698458e-16,1.474514954580286e-16,3.6429192995512604e-18,4.9439619065339e-17,2.467644144577008e-16,3.946495907847236e-16,1.2836953722228372e-15,1.598913923795884e-16,1.8409287742585957e-16,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_7_over_9_identity_residual_l2,minus,confounded,heavy_contrast,anchor_id,2000,2,704,1.7349177411783089e-16,1.1676289922518838e-16,1.3925594608489248e-16,6.429717344122618e-17,9.642450347862709e-17,2.1182033071471952e-16,3.0742741799366336e-16,8.039387359132863e-16,1.6524714416297511e-16,1.817467853026949e-16,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_do_error_abs,minus,confounded,logger1_heavy,anchor_id,2000,2,704,0.003444578816256296,0.002629337108132669,0.0028081482803161695,0.0004719845239640197,0.0012617000616201857,0.0052275591742522165,0.006956534569630924,0.012373084161692027,0.003252275610810399,0.003635169685922223,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_do_error_l2,minus,confounded,logger1_heavy,anchor_id,2000,2,704,0.28588577409699484,0.055822166609782266,0.30218338670784073,0.1978397794287602,0.25994037994033525,0.3304666918699691,0.34380290437113886,0.3669285153771442,0.28159899982848563,0.2900631820428997,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_do_error_abs,minus,confounded,logger12_midpoint,anchor_id,2000,2,704,2.2078298785159363e-18,3.8313453789329475e-17,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,5.361872562110131e-18,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_do_error_l2,minus,confounded,logger12_midpoint,anchor_id,2000,2,704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_any_clipping,reward_do_error_abs,minus,confounded,logger2_heavy,anchor_id,2000,2,704,0.0034445788162564463,0.0026293371081326476,0.0028081482803161695,0.0004719845239641529,0.0012617000616202967,0.0052275591742518834,0.006956534569630236,0.012373084161691139,0.003252275610810549,0.00363516968592235,,,,,,,,,,,
action_specific,action_pair_any_clipping,delta_do_error_l2,minus,confounded,logger2_heavy,anchor_id,2000,2,704,0.2858857740969949,0.05582216660978223,0.30218338670784073,0.19783977942876035,0.25994037994033553,0.33046669186996913,0.34380290437113886,0.36692851537714416,0.2815989998284857,0.2900631820428998,,,,,,,,,,,
action_specific,all,reward_u_effect_abs,base,do_oracle,none,anchor_id,2000,1000,2048,0.011693052791700902,0.006879131041238134,0.009501652815562478,0.0038992547296352155,0.006309088561745058,0.018713189313018352,0.02099276977616573,0.03162874026948348,0.011392231721672164,0.012007518316669241,,,,,,,,,,,
