kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.05,confounded,2,no_staged_training,-0.9464676976203918
0.0,0.05,confounded,3,public_residual_init_nll_best,-1.1369433403015137
0.0,0.05,confounded,3,source_shuffle_initialization,-0.7902779579162598
0.0,0.05,confounded,3,no_staged_training,-1.0467466115951538
0.0,0.05,confounded,4,public_residual_init_nll_best,-1.1166003942489624
0.0,0.05,confounded,4,source_shuffle_initialization,-0.7596808075904846
0.0,0.05,confounded,4,no_staged_training,-0.995317816734314
0.0,0.05,confounded,-1,public_residual_init_uniform_candidate_ensemble,-0.9018391638994216
0.0,0.05,confounded,0,public_residual_init_uniform_candidate_ensemble,-0.7914011418819429
0.0,0.05,confounded,1,public_residual_init_uniform_candidate_ensemble,-0.7161586135625839
0.0,0.05,confounded,2,public_residual_init_uniform_candidate_ensemble,-1.0174933493137361
0.0,0.05,confounded,3,public_residual_init_uniform_candidate_ensemble,-1.0006788551807404
0.0,0.05,confounded,4,public_residual_init_uniform_candidate_ensemble,-0.9834638595581056
0.0,0.05,confounded,0,pooled_mlp,-1.255353569984436
0.0,0.05,confounded,0,V0_random_init_mechanism,-0.568337619304657
0.0,0.05,confounded,0,V7_oracle_u_aware,
0.0,0.05,confounded,0,V1_explicit_collapsed,-0.5740039944648743
0.0,0.05,confounded,0,V6_oracle_initialized_joint,-0.8990049362182617
0.0,0.05,confounded,1,pooled_mlp,-1.2602176666259766
0.0,0.05,confounded,1,V0_random_init_mechanism,-0.6113380789756775
0.0,0.05,confounded,1,V7_oracle_u_aware,
0.0,0.05,confounded,1,V1_explicit_collapsed,-0.5906586647033691
0.0,0.05,confounded,1,V6_oracle_initialized_joint,-1.0822653770446777
0.0,0.05,confounded,2,pooled_mlp,-1.2650163173675537
0.0,0.05,confounded,2,V0_random_init_mechanism,-0.6082079410552979
0.0,0.05,confounded,2,V7_oracle_u_aware,
0.0,0.05,confounded,2,V1_explicit_collapsed,-0.5793240666389465
0.0,0.05,confounded,2,V6_oracle_initialized_joint,-1.072455883026123
0.0,0.05,confounded,3,pooled_mlp,-1.284318208694458
0.0,0.05,confounded,3,V0_random_init_mechanism,-0.6211000084877014
0.0,0.05,confounded,3,V7_oracle_u_aware,
0.0,0.05,confounded,3,V1_explicit_collapsed,-0.5761501789093018
0.0,0.05,confounded,3,V6_oracle_initialized_joint,-1.135374903678894
0.0,0.05,confounded,4,pooled_mlp,-1.2579339742660522
0.0,0.05,confounded,4,V0_random_init_mechanism,-0.6116344332695007
0.0,0.05,confounded,4,V7_oracle_u_aware,
0.0,0.05,confounded,4,V1_explicit_collapsed,-0.44788306951522827
0.0,0.05,confounded,4,V6_oracle_initialized_joint,-1.1967626810073853
0.0,0.1,confounded,0,public_residual_init_nll_best,-1.0465539693832397
0.0,0.1,confounded,0,source_shuffle_initialization,-0.7498350143432617
0.0,0.1,confounded,0,no_staged_training,-0.8544755578041077
0.0,0.1,confounded,1,public_residual_init_nll_best,-1.1140289306640625
0.0,0.1,confounded,1,source_shuffle_initialization,-0.7336516976356506
0.0,0.1,confounded,1,no_staged_training,-0.8962103724479675
0.0,0.1,confounded,2,public_residual_init_nll_best,-1.0230168104171753
0.0,0.1,confounded,2,source_shuffle_initialization,-0.6589503288269043
