kappa,lambda_reward,condition,seed,method,top_set_disagreement,strict_flip,calibration_budget,calibration_replicate
0.0,0.05,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.627831715210356,0.627831715210356,,
0.0,0.05,confounded,0,public_residual_init_uniform_candidate_ensemble,0.7022653721682848,0.7022653721682848,,
0.0,0.05,confounded,1,public_residual_init_uniform_candidate_ensemble,0.7669902912621359,0.7669902912621359,,
0.0,0.05,confounded,2,public_residual_init_uniform_candidate_ensemble,0.5307443365695793,0.5307443365695793,,
0.0,0.05,confounded,3,public_residual_init_uniform_candidate_ensemble,0.5436893203883495,0.5436893203883495,,
0.0,0.05,confounded,4,public_residual_init_uniform_candidate_ensemble,0.5080906148867314,0.5080906148867314,,
0.0,0.05,confounded,0,pooled_mlp,0.9093851132686084,0.9093851132686084,,
0.0,0.05,confounded,0,V0_random_init_mechanism,0.9029126213592233,0.9029126213592233,,
0.0,0.05,confounded,0,V7_oracle_u_aware,0.23300970873786409,0.23300970873786409,,
0.0,0.05,confounded,0,V1_explicit_collapsed,0.9093851132686084,0.9093851132686084,,
0.0,0.05,confounded,0,V6_oracle_initialized_joint,0.20064724919093851,0.20064724919093851,,
0.0,0.05,confounded,1,pooled_mlp,0.9093851132686084,0.9093851132686084,,
0.0,0.05,confounded,1,V0_random_init_mechanism,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,1,V7_oracle_u_aware,0.2686084142394822,0.2686084142394822,,
0.0,0.05,confounded,1,V1_explicit_collapsed,0.9093851132686084,0.9093851132686084,,
0.0,0.05,confounded,1,V6_oracle_initialized_joint,0.29449838187702265,0.29449838187702265,,
0.0,0.05,confounded,2,pooled_mlp,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,2,V0_random_init_mechanism,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,2,V7_oracle_u_aware,0.20711974110032363,0.20711974110032363,,
0.0,0.05,confounded,2,V1_explicit_collapsed,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,2,V6_oracle_initialized_joint,0.21035598705501618,0.21035598705501618,,
0.0,0.05,confounded,3,pooled_mlp,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,3,V0_random_init_mechanism,0.9093851132686084,0.9093851132686084,,
0.0,0.05,confounded,3,V7_oracle_u_aware,0.19741100323624594,0.19741100323624594,,
0.0,0.05,confounded,3,V1_explicit_collapsed,0.9093851132686084,0.9093851132686084,,
0.0,0.05,confounded,3,V6_oracle_initialized_joint,0.21035598705501618,0.21035598705501618,,
0.0,0.05,confounded,4,pooled_mlp,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,4,V0_random_init_mechanism,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,4,V7_oracle_u_aware,0.2912621359223301,0.2912621359223301,,
0.0,0.05,confounded,4,V1_explicit_collapsed,0.9061488673139159,0.9061488673139159,,
0.0,0.05,confounded,4,V6_oracle_initialized_joint,0.22330097087378642,0.22330097087378642,,
0.0,0.1,confounded,0,public_residual_init_nll_best,0.23624595469255663,0.23624595469255663,,
0.0,0.1,confounded,0,source_shuffle_initialization,0.2686084142394822,0.2686084142394822,,
0.0,0.1,confounded,0,no_staged_training,0.2750809061488673,0.2750809061488673,,
0.0,0.1,confounded,1,public_residual_init_nll_best,0.2524271844660194,0.2524271844660194,,
0.0,0.1,confounded,1,source_shuffle_initialization,0.23948220064724918,0.23948220064724918,,
0.0,0.1,confounded,1,no_staged_training,0.18446601941747573,0.18446601941747573,,
0.0,0.1,confounded,2,public_residual_init_nll_best,0.3106796116504854,0.3106796116504854,,
0.0,0.1,confounded,2,source_shuffle_initialization,0.34951456310679613,0.34951456310679613,,
0.0,0.1,confounded,2,no_staged_training,0.2686084142394822,0.2686084142394822,,
0.0,0.1,confounded,3,public_residual_init_nll_best,0.30097087378640774,0.30097087378640774,,
0.0,0.1,confounded,3,source_shuffle_initialization,0.24271844660194175,0.24271844660194175,,
0.0,0.1,confounded,3,no_staged_training,0.24271844660194175,0.24271844660194175,,
0.0,0.1,confounded,4,public_residual_init_nll_best,0.28802588996763756,0.28802588996763756,,
0.0,0.1,confounded,4,source_shuffle_initialization,0.30097087378640774,0.30097087378640774,,
0.0,0.1,confounded,4,no_staged_training,0.26537216828478966,0.26537216828478966,,
0.0,0.1,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.6310679611650486,0.6310679611650486,,
0.0,0.1,confounded,0,public_residual_init_uniform_candidate_ensemble,0.6245954692556634,0.6245954692556634,,
0.0,0.1,confounded,1,public_residual_init_uniform_candidate_ensemble,0.6375404530744336,0.6375404530744336,,
0.0,0.1,confounded,2,public_residual_init_uniform_candidate_ensemble,0.6181229773462783,0.6181229773462783,,
0.0,0.1,confounded,3,public_residual_init_uniform_candidate_ensemble,0.6343042071197411,0.6343042071197411,,
0.0,0.1,confounded,4,public_residual_init_uniform_candidate_ensemble,0.5760517799352751,0.5760517799352751,,
0.0,0.1,confounded,0,pooled_mlp,0.9093851132686084,0.9093851132686084,,
