kappa,lambda_reward,condition,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,calibration_budget,calibration_replicate
0.0,0.005,confounded,2,public_residual_init_nll_best,0.002457819928500721,0.002457819928500721,0.0049964891967547555,0.006440925187506962,0.015715033001301393,,
0.0,0.005,confounded,2,source_shuffle_initialization,0.0024374612552772327,0.0024374612552772327,0.004955102157109637,0.006320875703269733,0.015715033001301393,,
0.0,0.005,confounded,2,no_staged_training,0.0024866809194814127,0.0024866809194814127,0.004685270756827784,0.00629485902807616,0.014560934895740285,,
0.0,0.005,confounded,3,public_residual_init_nll_best,0.0020104864535170027,0.0020104864535170027,0.00440595967472875,0.0058149346713247665,0.014126174632168809,,
0.0,0.005,confounded,3,source_shuffle_initialization,0.0017862456768780002,0.0017862456768780002,0.0042457685704254,0.00555500223897134,0.014035884210632066,,
0.0,0.005,confounded,3,no_staged_training,0.0017722427073198939,0.0017722427073198939,0.004117466139562761,0.00550296211999468,0.014126174632168809,,
0.0,0.005,confounded,4,public_residual_init_nll_best,0.002036878351935277,0.002036878351935277,0.004627907431970593,0.0058149346713247665,0.014977983325449529,,
0.0,0.005,confounded,4,source_shuffle_initialization,0.0019449936094084023,0.0019449936094084023,0.004587809353490048,0.0058149346713247665,0.014977983325449529,,
0.0,0.005,confounded,4,no_staged_training,0.0023735401859381077,0.0023735401859381077,0.004671489920094748,0.006381720516402023,0.014977983325449529,,
0.0,0.005,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.0017755671028857683,0.0017755671028857683,0.004156441172664412,0.005230876367828329,0.014126174632168809,,
0.0,0.005,confounded,0,public_residual_init_uniform_candidate_ensemble,0.0020263892934611065,0.0020263892934611065,0.004604075674113838,0.006083718842479068,0.013251966247791458,,
0.0,0.005,confounded,1,public_residual_init_uniform_candidate_ensemble,0.002141328502004657,0.002141328502004657,0.004726217907995993,0.0058149346713247665,0.015054098040339525,,
0.0,0.005,confounded,2,public_residual_init_uniform_candidate_ensemble,0.0027341337754837785,0.0027341337754837785,0.004911903119909811,0.006620035898958587,0.014901087993193673,,
0.0,0.005,confounded,3,public_residual_init_uniform_candidate_ensemble,0.0020461335225849266,0.0020461335225849266,0.004548598981861455,0.0057292287958934365,0.014035884210632066,,
0.0,0.005,confounded,4,public_residual_init_uniform_candidate_ensemble,0.002210069547956878,0.002210069547956878,0.0049130323044509015,0.006286798234608425,0.014977983325449529,,
0.0,0.005,confounded,0,pooled_mlp,0.0018057004592252142,0.0018057004592252142,0.004195198811282641,0.005344045706519918,0.014126174632168809,,
0.0,0.005,confounded,0,V0_random_init_mechanism,0.0021619781940189755,0.0021619781940189755,0.004228172543999136,0.0057161007738856465,0.015715033001301393,,
0.0,0.005,confounded,0,V7_oracle_u_aware,0.0007194568059510848,0.0007194568059510848,0.0034201869698290027,0.0032273878321561257,0.012391259752272621,,
0.0,0.005,confounded,0,V1_explicit_collapsed,0.0013940763626216445,0.0013940763626216445,0.0037458225743485923,0.005045781408386762,0.012069758204197978,,
0.0,0.005,confounded,0,V6_oracle_initialized_joint,0.0013180203721632725,0.0013180203721632725,0.0042423780729005335,0.005173179375305104,0.014957867511653955,,
0.0,0.005,confounded,1,pooled_mlp,0.0019329418363111012,0.0019329418363111012,0.0044573061747770915,0.006083528746821809,0.013568000732758989,,
0.0,0.005,confounded,1,V0_random_init_mechanism,0.002106741868044037,0.002106741868044037,0.004428457396092568,0.00573791877474834,0.016470852737632935,,
