family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,bootstrap_valid_repetitions,subset
confounding_excess,0.0,confounded_minus_independent,minus,logger12_balanced,delta_balanced_do_error_excess,2048,-1.2226195702329606e-17,1.240841407848386e-16,-5.420349440857691e-20,-1.1101892215876265e-16,-2.772670827270092e-17,1.2143064745427931e-17,1.0075803573380038e-16,8.864441197405211e-16,-1.7596811968133873e-17,-6.952458724590046e-18,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,base,logger12_balanced,delta_balanced_do_error_excess,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,plus,logger12_balanced,delta_balanced_do_error_excess,2048,2.4773036740556775e-16,2.5097436033121076e-16,1.6704389696291794e-16,2.971887787542151e-17,7.833802758719316e-17,3.079785121400897e-16,5.333696133795546e-16,1.835446725597743e-15,2.371715334159123e-16,2.5843174646825106e-16,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,all,logger12_balanced,delta_balanced_do_error_excess,2048,7.850139056774604e-17,9.110554299540835e-17,5.3347356809058737e-17,4.312658258278553e-18,2.065789650003697e-17,1.058178991089418e-16,1.8837652529176851e-16,6.37913689481731e-16,7.45884311796424e-17,8.245045351824808e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,minus,all_sources_equal,reward_all_sources_equal_do_error_excess,2048,3.800128614561693e-17,4.356640277550142e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,1.687538997430238e-14,2.217057917461296e-17,5.941427905220564e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,base,all_sources_equal,reward_all_sources_equal_do_error_excess,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,plus,all_sources_equal,reward_all_sources_equal_do_error_excess,2048,2.9219248548484344e-17,2.395401153671292e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-15,1.81603863891322e-17,3.935653886122381e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,all,all_sources_equal,reward_all_sources_equal_do_error_excess,2048,2.2406844898033754e-17,1.6730997603586647e-16,0.0,-1.4802973661668753e-16,0.0,0.0,1.4802973661668753e-16,5.625129991434126e-15,1.5811281682080268e-17,2.9909523931633425e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,minus,all_sources_equal,delta_all_sources_equal_do_error_excess,2048,2.5449593266169582e-17,8.128438349086044e-17,1.734723475976807e-18,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,8.883139346335056e-16,2.1891218376204764e-17,2.903684649275188e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,base,all_sources_equal,delta_all_sources_equal_do_error_excess,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,plus,all_sources_equal,delta_all_sources_equal_do_error_excess,2048,-4.501608932181529e-17,1.0986724464673388e-16,-3.469446951953614e-18,-1.1188630228279524e-16,-3.103169097278558e-17,0.0,0.0,0.0,-4.9919412841211074e-17,-4.034217178936799e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,all,all_sources_equal,delta_all_sources_equal_do_error_excess,2048,-6.522165351881905e-18,4.4159799279503523e-17,-4.517371205412433e-21,-3.7011951387530685e-17,-9.25185853854297e-18,2.347671987722423e-18,2.6859913616248338e-17,2.2208921188301406e-16,-8.428310809161376e-18,-4.5999709133251126e-18,anchor_id,2000,0,,
decision_scale,0.0,confounded,all,primary,max_primary_drift,2048,5.34565881143978e-16,3.3755514250618373e-16,4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,8.881784197001252e-16,8.881784197001252e-16,7.993605777301127e-15,5.211217742051577e-16,5.502881678977334e-16,anchor_id,2000,0,,
decision_scale,0.0,confounded,all,none,do_action_gap,2048,0.007876400342523685,0.004644717909262763,0.006332362223688381,0.002787272642947447,0.004321672557532352,0.012545057289696349,0.014134038850673747,0.02109403789378117,0.007678197049169443,0.008076031402626057,anchor_id,2000,0,,
decision_scale,0.0,confounded,all,primary,fraction_primary_drift_gt_gap,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
decision_scale,0.0,confounded,all,logger12_balanced,max_balanced_do_error,2048,4.678332374274952e-16,4.618903444987872e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,1.687538997430238e-14,4.507570532108485e-16,4.904402079765335e-16,anchor_id,2000,0,,
decision_scale,0.0,confounded,all,logger12_balanced,fraction_balanced_error_gt_gap,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
u_effect,0.1,do_oracle,minus,none,reward_u_effect_abs,2048,0.0037846207428812416,0.0023924525773519065,0.0030609443803042424,0.0010336033862371253,0.001963141011333658,0.0061298640615685684,0.006964037530475409,0.015971693069299686,0.003680241245666851,0.003891393181199607,anchor_id,2000,0,,
u_effect,0.1,do_oracle,minus,none,delta_u_effect_l2,2048,0.2635943861932312,0.043443460161516664,0.2596058204889966,0.2070430248925285,0.24334744055429544,0.3111357977225476,0.31438257753825954,0.6161561415046983,0.2616043061242808,0.26548315987727206,anchor_id,2000,0,,
u_effect,0.1,do_oracle,base,none,reward_u_effect_abs,2048,0.003958083964305409,0.002352714472054266,0.0031687239467690365,0.0013931310813315224,0.0021568222298652406,0.006273402313914489,0.007095381463357064,0.013052426980954657,0.0038578539983996725,0.00405824300263471,anchor_id,2000,0,,
u_effect,0.1,do_oracle,base,none,delta_u_effect_l2,2048,0.2643800666149433,0.043055642701500925,0.25973120937570016,0.20026512811774672,0.24346822884564534,0.31256136390523537,0.31470711482747443,0.5426522424820269,0.26240325642034995,0.26626773327721426,anchor_id,2000,0,,
u_effect,0.1,do_oracle,plus,none,reward_u_effect_abs,2048,0.00400332387205935,0.0022814602326582914,0.003308371829049417,0.001454727076802609,0.002241578139236422,0.0063375643464320675,0.007085766667815729,0.01046446442719251,0.0039051689711226433,0.00410414766910864,anchor_id,2000,0,,
