family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,numerator_mean,denominator_mean,pointwise_ratios_computed
action_ranking,0.0,confounded,minus,logger2_heavy,fraction_action_in_top_set,2048,0.91162109375,0.28391448409481096,1.0,1.0,1.0,1.0,1.0,1.0,0.8994140625,0.9233520507812499,anchor_id,2000,0,,,
action_ranking,0.0,confounded,base,logger2_heavy,fraction_action_in_top_set,2048,0.00537109375,0.07310851451341079,0.0,0.0,0.0,0.0,0.0,1.0,0.00244140625,0.0087890625,anchor_id,2000,0,,,
action_ranking,0.0,confounded,plus,logger2_heavy,fraction_action_in_top_set,2048,0.0830078125,0.27596141120871737,0.0,0.0,0.0,0.0,0.0,1.0,0.0712890625,0.0947265625,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,signed_reward_drift,2048,1.0083080204115191e-17,4.819782008591635e-16,0.0,0.0,0.0,0.0,0.0,2.1760371282653068e-14,-1.6263032587282567e-18,3.220080452281948e-17,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,absolute_reward_drift,2048,1.1817803680091998e-17,4.819387674447709e-16,0.0,0.0,0.0,0.0,0.0,2.1760371282653068e-14,2.168404344971009e-19,3.3940949009658687e-17,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,three_mixture_reward_range,2048,1.7607443281164592e-16,5.272271090568942e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.1760371282653068e-14,1.581850969656351e-16,2.017158141909281e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,delta_drift_heavy_contrast,2048,1.6720643429119241e-16,1.86848019127442e-16,1.1360307395208437e-16,1.5521964413622656e-17,5.558902418552538e-17,2.2424771365950786e-16,4.4416137119160275e-16,9.421672712216795e-16,1.58928628017764e-16,1.7562661591505052e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,minus,logger1_heavy_vs_logger2_heavy,three_mixture_delta_drift,2048,1.8213889720943274e-16,1.9403199403990634e-16,1.2414034424138468e-16,2.000580707114743e-17,5.732467184423328e-17,2.331426066471315e-16,4.47668572331916e-16,9.485960841502524e-16,1.7341591556413887e-16,1.9082909859992128e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,signed_reward_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,absolute_reward_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,three_mixture_reward_range,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,delta_drift_heavy_contrast,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,base,logger1_heavy_vs_logger2_heavy,three_mixture_delta_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,plus,logger1_heavy_vs_logger2_heavy,signed_reward_drift,2048,1.0842021724855044e-18,6.397987480329283e-17,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,-9.75781955236954e-19,4.336808689942018e-18,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,plus,logger1_heavy_vs_logger2_heavy,absolute_reward_drift,2048,2.6020852139652106e-18,6.393611102729359e-17,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,5.421010862427522e-19,6.071532165918825e-18,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,plus,logger1_heavy_vs_logger2_heavy,three_mixture_reward_range,2048,1.6528662119541515e-16,2.291411659422452e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.6645352591003757e-15,1.5568601095805601e-16,1.7536970139953034e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,independent_latents,plus,logger1_heavy_vs_logger2_heavy,delta_drift_heavy_contrast,2048,1.657011180036491e-16,1.9061533984369725e-16,1.1304865160071114e-16,1.5696000709102782e-17,5.572788619821833e-17,2.226206870510986e-16,4.44548995299681e-16,9.48589243776019e-16,1.572057850828028e-16,1.7391035997543984e-16,anchor_id,2000,0,,,
