kappa,lambda_reward,condition,mixture,seed,variant,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed_em,0.010795266296985538,0.014792537654486517,0.4110032362459547,0.4110032362459547,0.0018137209968672363,0.0018137209968672363
0.0,0.005,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.012424611844539774,0.017780926252752034,0.1941747572815534,0.1941747572815534,0.0006175719986957735,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,oracle_compatible_plugin,0.012424611844539774,0.017780926252752034,0.1941747572815534,0.1941747572815534,0.0006175719986957735,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,oracle_initialized_joint,0.010712492961319113,0.015481670316938142,0.4368932038834951,0.4368932038834951,0.0018155278194292256,0.0018155278194292256
0.0,0.005,confounded,logger12_balanced,3,oracle_u_aware_ceiling,0.010135125028239917,0.014860177270552671,0.21035598705501618,0.20711974110032363,0.0007500878685057276,0.0007666297018284648
0.0,0.005,confounded,logger12_balanced,4,current_random_init,0.01000632158984545,0.01655612915081694,0.44336569579288027,0.44336569579288027,0.0020282392487259763,0.0020282392487259763
0.0,0.005,confounded,logger12_balanced,4,collapsed_constrained_reference,0.014724438666729997,0.021252654493002832,0.4854368932038835,0.4854368932038835,0.002210570626748973,0.002210570626748973
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed,0.013779354181265887,0.019084710385169533,0.49838187702265374,0.49838187702265374,0.0022517810403003954,0.0022517810403003954
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed_em,0.014858257234043553,0.021205345716084685,0.4854368932038835,0.4854368932038835,0.00228871214474593,0.00228871214474593
0.0,0.005,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,0.01521865993448631,0.019812304207408902,0.36893203883495146,0.36893203883495146,0.00152202645164406,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,oracle_compatible_plugin,0.01521865993448631,0.019812304207408902,0.36893203883495146,0.36893203883495146,0.00152202645164406,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,oracle_initialized_joint,0.012953380901900008,0.01894001487214244,0.3300970873786408,0.3300970873786408,0.0013075027304225177,0.0013075027304225177
0.0,0.005,confounded,logger12_balanced,4,oracle_u_aware_ceiling,0.010985744209751349,0.0167044479087183,0.2459546925566343,0.2459546925566343,0.0008385316047686104,0.0008385316047686104
0.0,0.01,confounded,logger12_balanced,0,current_random_init,0.01343233090439824,0.018136460889802676,0.7087378640776699,0.7087378640776699,0.003943203876351595,0.003943203876351595
0.0,0.01,confounded,logger12_balanced,0,collapsed_constrained_reference,0.012706503546213452,0.01769403573241546,0.6019417475728155,0.6019417475728155,0.003324554628734056,0.003324554628734056
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed,0.015160368947800183,0.021073242041962374,0.7216828478964401,0.7216828478964401,0.004327802004099284,0.004327802004099284
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed_em,0.012382509092982861,0.01757475368431361,0.6116504854368932,0.6116504854368932,0.0032279705645626173,0.0032279705645626173
0.0,0.01,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.012681063618059634,0.017733504799616058,0.18122977346278318,0.18122977346278318,0.0006349945045263475,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,oracle_compatible_plugin,0.012681063618059634,0.017733504799616058,0.18122977346278318,0.18122977346278318,0.0006349945045263475,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,oracle_initialized_joint,0.011313931483853729,0.01580105280000521,0.37540453074433655,0.37540453074433655,0.0016314279339725358,0.0016314279339725358
0.0,0.01,confounded,logger12_balanced,0,oracle_u_aware_ceiling,0.010310966512607048,0.01552758669594102,0.13915857605177995,0.13915857605177995,0.0004558019409050405,0.0004558019409050405
0.0,0.01,confounded,logger12_balanced,1,current_random_init,0.011567558423191869,0.01733761567441446,0.6763754045307443,0.6763754045307443,0.0037985628256977134,0.0037985628256977134
0.0,0.01,confounded,logger12_balanced,1,collapsed_constrained_reference,0.020376956924763708,0.025468222895613218,0.6796116504854369,0.6796116504854369,0.004015559019816013,0.004015559019816013
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed,0.015983369567320254,0.02129598339310827,0.6181229773462783,0.6181229773462783,0.0032364053487658217,0.0032364053487658217
0.0,0.01,confounded,logger12_balanced,1,true_behavior_fixed_em,0.015095662144055668,0.020157386137093166,0.6666666666666666,0.6666666666666666,0.0037740045794969687,0.0037740045794969687
0.0,0.01,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.011726077860063163,0.017299371632792927,0.2686084142394822,0.2686084142394822,0.001092861124860163,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,oracle_compatible_plugin,0.011726077860063163,0.017299371632792927,0.2686084142394822,0.2686084142394822,0.001092861124860163,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,oracle_initialized_joint,0.01234295153449023,0.01838425141004642,0.49514563106796117,0.49514563106796117,0.002433747799568272,0.002433747799568272
