kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,do_mae,rank_error,mean_regret
0.0,0.05,confounded,logger12_balanced,0,1.0,-1.1814110398474775,0.010564787806596932,0.22653721682847897,0.0007169186311815197
0.0,0.05,confounded,logger12_balanced,1,0.0,-0.9652995900379603,0.01083469673737361,0.21035598705501618,0.0007099080257503503
0.0,0.05,confounded,logger12_balanced,1,0.1,-0.9955484760589949,0.01083469673737361,0.21035598705501618,0.0007099080257503503
0.0,0.05,confounded,logger12_balanced,1,0.25,-1.035916768508009,0.01083469673737361,0.21035598705501618,0.0007099080257503503
0.0,0.05,confounded,logger12_balanced,1,0.5,-1.091073733308624,0.01083469673737361,0.21035598705501618,0.0007099080257503503
0.0,0.05,confounded,logger12_balanced,1,0.75,-1.1314578477852333,0.01083469673737361,0.21035598705501618,0.0007099080257503503
0.0,0.05,confounded,logger12_balanced,1,1.0,-1.1537824011947113,0.01083469673737361,0.21035598705501618,0.0007099080257503503
0.0,0.05,confounded,logger12_balanced,2,0.0,-0.9744718941443282,0.0123487216719155,0.23300970873786409,0.0008305668460323061
0.0,0.05,confounded,logger12_balanced,2,0.1,-1.0050354990777568,0.0123487216719155,0.23300970873786409,0.0008305668460323061
0.0,0.05,confounded,logger12_balanced,2,0.25,-1.0458398482988744,0.0123487216719155,0.23300970873786409,0.0008305668460323061
0.0,0.05,confounded,logger12_balanced,2,0.5,-1.1016749662441427,0.0123487216719155,0.23300970873786409,0.0008305668460323061
0.0,0.05,confounded,logger12_balanced,2,0.75,-1.1427390819428789,0.0123487216719155,0.23300970873786409,0.0008305668460323061
0.0,0.05,confounded,logger12_balanced,2,1.0,-1.165781703415406,0.0123487216719155,0.23300970873786409,0.0008305668460323061
0.0,0.05,confounded,logger12_balanced,3,0.0,-0.9912219749348898,0.010450370423511721,0.23624595469255663,0.000859033682470162
0.0,0.05,confounded,logger12_balanced,3,0.1,-1.022095583870291,0.010450370423511721,0.23624595469255663,0.000859033682470162
0.0,0.05,confounded,logger12_balanced,3,0.25,-1.0632262213368484,0.010450370423511721,0.23624595469255663,0.000859033682470162
0.0,0.05,confounded,logger12_balanced,3,0.5,-1.119228998284687,0.010450370423511721,0.23624595469255663,0.000859033682470162
0.0,0.05,confounded,logger12_balanced,3,0.75,-1.1598777471279282,0.010450370423511721,0.23624595469255663,0.000859033682470162
0.0,0.05,confounded,logger12_balanced,3,1.0,-1.1814225743284785,0.010450370423511721,0.23624595469255663,0.000859033682470162
0.0,0.05,confounded,logger12_balanced,4,0.0,-0.9836936099334621,0.012244327294492386,0.3300970873786408,0.0012932714164640812
0.0,0.05,confounded,logger12_balanced,4,0.1,-1.0137903810837867,0.012244327294492386,0.3300970873786408,0.0012932714164640812
