kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae
0.0,0.01,confounded,logger12_balanced,4,collapsed_constrained_reference,-1.2693604230880737,-1.1564688682556152,-1.1961201429367065,0.014433129802908224
0.0,0.01,confounded,logger12_balanced,4,true_behavior_fixed,-1.3212083578109741,-1.1941367387771606,-1.2396975755691528,0.012620323003173
0.0,0.01,confounded,logger12_balanced,4,true_behavior_fixed_em,-1.254601240158081,-1.1697587966918945,-1.1893993616104126,0.012365191634557458
0.0,0.01,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,-1.3153717517852783,-1.2219194173812866,-1.2313967943191528,0.013690972821326718
0.0,0.01,confounded,logger12_balanced,4,oracle_compatible_plugin,-1.3176769018173218,-1.2236472368240356,-1.2326724529266357,0.013745435391822197
0.0,0.01,confounded,logger12_balanced,4,oracle_initialized_joint,-1.8376758098602295,-1.457430362701416,-1.4863063097000122,0.011999730724891765
0.0,0.01,confounded,logger12_balanced,4,oracle_u_aware_ceiling,-1.3443292280876684,-1.2451109395395292,-1.255128493478286,0.011642371689330553
0.0,0.02,confounded,logger12_balanced,0,current_random_init,-1.2124407291412354,-1.0899022817611694,-1.1377947330474854,0.01287850561984335
0.0,0.02,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.1469460725784302,-1.0433566570281982,-1.1004321575164795,0.013440505953130026
0.0,0.02,confounded,logger12_balanced,0,true_behavior_fixed,-1.1648368835449219,-1.0607731342315674,-1.090896487236023,0.016552895056682317
0.0,0.02,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.1584064960479736,-1.038611650466919,-1.0805866718292236,0.017309236681907047
0.0,0.02,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.236472725868225,-1.1376006603240967,-1.1633278131484985,0.012547668820384333
0.0,0.02,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.2190111875534058,-1.1255344152450562,-1.1513946056365967,0.011554994802762541
0.0,0.02,confounded,logger12_balanced,0,oracle_initialized_joint,-1.6040173768997192,-1.2716987133026123,-1.44058096408844,0.010423431363323628
0.0,0.02,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.2441055969633392,-1.1419418451187506,-1.1740296664825882,0.011759973073683766
0.0,0.02,confounded,logger12_balanced,1,current_random_init,-1.232003927230835,-1.1085655689239502,-1.1430615186691284,0.012531354543820754
0.0,0.02,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.0134646892547607,-0.8752711415290833,-0.9229737520217896,0.023434377520429945
0.0,0.02,confounded,logger12_balanced,1,true_behavior_fixed,-1.165482997894287,-1.0553302764892578,-1.0946733951568604,0.01546143826608929
0.0,0.02,confounded,logger12_balanced,1,true_behavior_fixed_em,-1.0806258916854858,-0.9952515363693237,-1.0038691759109497,0.019577404133184644
0.0,0.02,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,-1.2255192995071411,-1.139665126800537,-1.172633171081543,0.012669584213185696
0.0,0.02,confounded,logger12_balanced,1,oracle_compatible_plugin,-1.2090191841125488,-1.12850022315979,-1.160607099533081,0.011980534117623929
0.0,0.02,confounded,logger12_balanced,1,oracle_initialized_joint,-1.547507405281067,-1.2393100261688232,-1.3488335609436035,0.012952417657699706
0.0,0.02,confounded,logger12_balanced,1,oracle_u_aware_ceiling,-1.2641817263504749,-1.1674884690813294,-1.1960206355244196,0.009978374006259158
0.0,0.02,confounded,logger12_balanced,2,current_random_init,-1.2233116626739502,-1.1009914875030518,-1.150659203529358,0.01182639877889631
0.0,0.02,confounded,logger12_balanced,2,collapsed_constrained_reference,-1.1201964616775513,-1.01793372631073,-1.0609599351882935,0.015777795603345014
0.0,0.02,confounded,logger12_balanced,2,true_behavior_fixed,-1.2050883769989014,-1.1146680116653442,-1.1330857276916504,0.013347743350871969
0.0,0.02,confounded,logger12_balanced,2,true_behavior_fixed_em,-1.137390375137329,-1.0501680374145508,-1.0624942779541016,0.014957323306553468
0.0,0.02,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,-1.1955134868621826,-1.1237777471542358,-1.1265803575515747,0.013547422211801276
0.0,0.02,confounded,logger12_balanced,2,oracle_compatible_plugin,-1.183364748954773,-1.114965796470642,-1.118291974067688,0.013255680185972818
0.0,0.02,confounded,logger12_balanced,2,oracle_initialized_joint,-1.7459338903427124,-1.3159292936325073,-1.466272234916687,0.01004967471437282
0.0,0.02,confounded,logger12_balanced,2,oracle_u_aware_ceiling,-1.2635516905905415,-1.1531207191541237,-1.1816419411640933,0.010723714719474694
0.0,0.02,confounded,logger12_balanced,3,current_random_init,-1.235082745552063,-1.1175792217254639,-1.149742841720581,0.01225969324076496
0.0,0.02,confounded,logger12_balanced,3,collapsed_constrained_reference,-1.1088601350784302,-1.0437806844711304,-1.0475025177001953,0.017589350167247525
0.0,0.02,confounded,logger12_balanced,3,true_behavior_fixed,-1.1690770387649536,-1.0643552541732788,-1.1210495233535767,0.014279579047680973
0.0,0.02,confounded,logger12_balanced,3,true_behavior_fixed_em,-1.0991746187210083,-0.9951395988464355,-1.054575800895691,0.016060988054712302
0.0,0.02,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,-1.2065740823745728,-1.1053670644760132,-1.1480919122695923,0.011788423882287558
0.0,0.02,confounded,logger12_balanced,3,oracle_compatible_plugin,-1.1862504482269287,-1.0922226905822754,-1.1320409774780273,0.010596580515045423
0.0,0.02,confounded,logger12_balanced,3,oracle_initialized_joint,-1.5425772666931152,-1.2929655313491821,-1.3770992755889893,0.012167022649281944
