kappa,lambda_reward,condition,mixture,seed,variant,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy
0.0,0.005,confounded,logger12_balanced,0,oracle_u_aware_ceiling,False,0.0123545308909656,,0.5,,0.0,1.0,1.0
0.0,0.005,confounded,logger12_balanced,1,current_random_init,True,0.007525473569257977,0.18485379219055176,0.9932990074157715,0.4932990074157715,0.03506898134946823,1.035691149708689,0.5
0.0,0.005,confounded,logger12_balanced,1,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.005,confounded,logger12_balanced,1,true_behavior_fixed,False,0.006240553382362316,0.3999999761581421,0.5,0.0,0.5105978846549988,1.6662871446993182,0.5071197411003237
0.0,0.005,confounded,logger12_balanced,1,true_behavior_fixed_em,False,0.006776639970260914,0.3999999761581421,0.5,0.0,0.5121142268180847,1.668815722762904,0.5119741100323625
0.0,0.005,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,False,0.01091963161731221,0.1539851874113083,0.5,0.0,0.6672295928001404,1.948830780110018,0.543042071197411
0.0,0.005,confounded,logger12_balanced,1,oracle_compatible_plugin,False,0.01091963161731221,0.3999999761581421,0.5,0.0,0.5112288594245911,1.6673388616150455,0.5411003236245955
0.0,0.005,confounded,logger12_balanced,1,oracle_initialized_joint,False,0.006462494989609333,0.4115928113460541,0.5024036169052124,0.0024036169052124023,0.4946030378341675,1.6398471525599263,0.5200647249190938
0.0,0.005,confounded,logger12_balanced,1,oracle_u_aware_ceiling,False,0.009877249853384682,,0.5,,0.0,1.0,1.0
0.0,0.005,confounded,logger12_balanced,2,current_random_init,True,0.0073828818127036405,0.16067662835121155,0.006560133304446936,0.49343986669555306,0.03545091301202774,1.0360867885000766,0.5
0.0,0.005,confounded,logger12_balanced,2,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.005,confounded,logger12_balanced,2,true_behavior_fixed,False,0.007217384991997205,0.3999999761581421,0.5,0.0,0.5105350613594055,1.6661824663376377,0.5058252427184466
0.0,0.005,confounded,logger12_balanced,2,true_behavior_fixed_em,False,0.006873387452031997,0.3999999761581421,0.5,0.0,0.5118328332901001,1.668346194883271,0.5048543689320388
0.0,0.005,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,False,0.012184486807784847,0.16871199011802673,0.5,0.0,0.662726640701294,1.9400750166448995,0.529126213592233
0.0,0.005,confounded,logger12_balanced,2,oracle_compatible_plugin,False,0.012184486807784847,0.3999999761581421,0.5,0.0,0.511345386505127,1.667533163065324,0.5271844660194175
0.0,0.005,confounded,logger12_balanced,2,oracle_initialized_joint,False,0.00771909526877048,0.40900397300720215,0.5005214810371399,0.0005214810371398926,0.4908585250377655,1.6337182060337239,0.5197411003236246
0.0,0.005,confounded,logger12_balanced,2,oracle_u_aware_ceiling,False,0.010302992480565189,,0.5,,0.0,1.0,1.0
0.0,0.005,confounded,logger12_balanced,3,current_random_init,True,0.006622747699128627,0.17966733872890472,0.993247389793396,0.493247389793396,0.03521675616502762,1.0358442100862697,0.5
0.0,0.005,confounded,logger12_balanced,3,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
