anchor_id,kappa,condition,mixture,segment_kind,lambda_start,lambda_stop,probe_lambda,top_set,top_disagreement,strict_flip,regret_best,regret_worst,true_do_regret,observational_top_second_gap
557,0.0,confounded,logger1_heavy,interval,0.003184722195227931,0.003239470576795614,0.0032120963860117722,base,True,True,0.002406234547505548,0.002406234547505548,0.002406234547505548,2.0682721925346925e-05
557,0.0,confounded,logger1_heavy,point,0.003239470576795614,0.003239470576795614,0.003239470576795614,base,True,True,0.002406234547505548,0.002406234547505548,0.002406234547505548,4.136544385113794e-05
557,0.0,confounded,logger1_heavy,interval,0.003239470576795614,0.0032942189583632965,0.0032668447675794554,base,True,True,0.002406234547505548,0.002406234547505548,0.002406234547505548,2.0682721925346925e-05
557,0.0,confounded,logger1_heavy,point,0.0032942189583632965,0.0032942189583632965,0.0032942189583632965,base|plus,True,True,0.002406234547505548,0.004895199982713372,0.002406234547505548,0.0
557,0.0,confounded,logger1_heavy,interval,0.0032942189583632965,+inf,1.0032942189583633,plus,True,True,0.004895199982713372,0.004895199982713372,0.004895199982713372,0.7555555555555555
558,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0021279942237786287
558,0.0,confounded,logger1_heavy,interval,0.0,0.0028164629432364204,0.0014082314716182102,minus,False,False,0.0,0.0,0.0,0.0010639971118893143
558,0.0,confounded,logger1_heavy,point,0.0028164629432364204,0.0028164629432364204,0.0028164629432364204,minus|base,True,False,0.0,0.0021279942237786287,0.0,0.0
558,0.0,confounded,logger1_heavy,interval,0.0028164629432364204,0.0028727128656804452,0.0028445879044584326,base,True,True,0.0021279942237786287,0.0021279942237786287,0.0021279942237786287,2.1249970700853993e-05
558,0.0,confounded,logger1_heavy,point,0.0028727128656804452,0.0028727128656804452,0.0028727128656804452,base,True,True,0.0021279942237786287,0.0021279942237786287,0.0021279942237786287,4.2499941402152075e-05
558,0.0,confounded,logger1_heavy,interval,0.0028727128656804452,0.00292896278812447,0.002900837826902458,base,True,True,0.0021279942237786287,0.0021279942237786287,0.0021279942237786287,2.1249970700853993e-05
558,0.0,confounded,logger1_heavy,point,0.00292896278812447,0.00292896278812447,0.00292896278812447,base|plus,True,True,0.0021279942237786287,0.004340988330362006,0.0021279942237786287,0.0
558,0.0,confounded,logger1_heavy,interval,0.00292896278812447,+inf,1.0029289627881244,plus,True,True,0.004340988330362006,0.004340988330362006,0.004340988330362006,0.7555555555555555
559,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0014469287057385927
