kappa,condition,mixture,subset,lambda_reward,count,rank_disagreement_rate,strict_flip_rate,obs_regret,obs_regret_worst_tie,mean_regret,conditional_regret_given_error,mean_action_dependent_distortion,gap_sign_preservation,mean_obs_top_second_gap,obs_top_fraction_minus,obs_top_fraction_base,obs_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus
0.0,confounded,logger1_heavy,trainval,0.002,434,0.16129032258064516,0.16129032258064516,0.00027422427767338694,0.00027422427767338694,0.00027422427767338694,0.001700190521574999,0.00213703382758601,0.8433179723502304,0.0020641431923667333,0.7741935483870968,0.029953917050691243,0.195852534562212,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.003,434,0.3433179723502304,0.3433179723502304,0.0009716060263442697,0.0009716060263442697,0.0009716060263442697,0.002830047083445725,0.0032055507413790156,0.6612903225806451,0.001762524753628806,0.5921658986175116,0.027649769585253458,0.38018433179723504,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.005,434,0.716589861751152,0.716589861751152,0.0031247242055588704,0.0031247242055588704,0.0031247242055588704,0.004360547605185047,0.005342584568965027,0.2903225806451613,0.002137445857994717,0.21889400921658986,0.020737327188940093,0.7603686635944701,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.0075,434,0.7649769585253456,0.7626728110599078,0.003533015944109027,0.0035460720938755405,0.003533015944109027,0.004618460601636499,0.008013876853447538,0.23963133640552994,0.0032196992996408585,0.1728110599078341,0.03225806451612903,0.7972350230414746,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.01,434,0.9308755760368663,0.9308755760368663,0.005862948484212048,0.005862948484212048,0.005862948484212048,0.006298315945910962,0.010685169137930054,0.07603686635944701,0.004797065915099996,0.004608294930875576,0.004608294930875576,0.9907834101382489,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.015,434,0.9354838709677419,0.9354838709677419,0.0059683137695738615,0.0059683137695738615,0.0059683137695738615,0.0063799216157513685,0.016027753706895076,0.06912442396313365,0.008575618760291486,0.0,0.0,1.0,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.02,434,0.9354838709677419,0.9354838709677419,0.0059683137695738615,0.0059683137695738615,0.0059683137695738615,0.0063799216157513685,0.021370338275860108,0.06912442396313365,0.012353396538069238,0.0,0.0,1.0,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.03,434,0.9354838709677419,0.9354838709677419,0.0059683137695738615,0.0059683137695738615,0.0059683137695738615,0.0063799216157513685,0.03205550741379015,0.06912442396313365,0.019908952093624938,0.0,0.0,1.0,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,trainval,0.05,434,0.9354838709677419,0.9354838709677419,0.0059683137695738615,0.0059683137695738615,0.0059683137695738615,0.0063799216157513685,0.05342584568965026,0.06912442396313365,0.03502006320473597,0.0,0.0,1.0,0.923963133640553,0.01152073732718894,0.06451612903225806
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.0,831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0035351578490359866,0.9314079422382672,0.0024067388688327317,0.06618531889290012,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.0005,831,0.007220216606498195,0.007220216606498195,2.7421507032258933e-06,2.7421507032258933e-06,2.7421507032258933e-06,0.00037978787239678624,0.0005342584568965025,0.9927797833935018,0.0032090992267651366,0.9253910950661853,0.0036101083032490976,0.07099879663056559,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.001,831,0.06377858002406739,0.06377858002406739,6.68176876445732e-05,6.68176876445732e-05,6.68176876445732e-05,0.0010476509138234022,0.001068516913793005,0.9362214199759326,0.002904258406328761,0.8688327316486161,0.00842358604091456,0.12274368231046931,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.002,831,0.1022864019253911,0.1022864019253911,0.00014876367901473528,0.00014876367901473528,0.00014876367901473528,0.0014543837324852355,0.00213703382758601,0.8977135980746089,0.002373528028840117,0.8303249097472925,0.009626955475330927,0.16004813477737664,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.003,831,0.32611311672683513,0.32611311672683513,0.0009445076655564002,0.0009445076655564002,0.0009445076655564002,0.0028962578231637214,0.003205550741379016,0.6738868832731648,0.0020227095608761183,0.6064981949458483,0.04091456077015644,0.3525872442839952,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.005,831,0.7003610108303249,0.7003610108303249,0.0031922552518199934,0.0031922552518199934,0.0031922552518199934,0.004558013942031641,0.005342584568965027,0.3008423586040915,0.0022722396810325135,0.23345367027677497,0.02527075812274368,0.7412755716004813,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.0075,831,0.7472924187725631,0.7460890493381468,0.0036486100614010137,0.003655428796658134,0.0036486100614010137,0.004882439550763675,0.008013876853447538,0.2527075812274368,0.003331933607734565,0.18772563176895307,0.01684717208182912,0.7966305655836342,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.01,831,0.9037304452466908,0.9037304452466908,0.00573924739433966,0.00573924739433966,0.00573924739433966,0.0063506186214331,0.010685169137930054,0.098676293622142,0.004805566310623148,0.030084235860409144,0.010830324909747292,0.9590854392298436,0.9314079422382672,0.0024067388688327317,0.06618531889290012
0.0,confounded,logger1_heavy,initial_step_strict_unclipped,0.015,831,0.9338146811070999,0.9338146811070999,0.006305563522236718,0.006305563522236718,0.006305563522236718,0.006752478462601436,0.016027753706895076,0.06738868832731648,0.008557117340686251,0.0,0.0,1.0,0.9314079422382672,0.0024067388688327317,0.06618531889290012
