action,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,seed_max,seed_min,seed_sd,seed_variation_reported_separately
minus,anchor_id,-1.3284719952779648e-17,-9.109522253334619e-17,confounded,0.0,0.0,-5.124106267500722e-17,signed_balanced_population_bias,logger12_balanced,3,78,-5.124106267500723e-17,-5.124106267500723e-17,7.548073030552817e-33,True
plus,anchor_id,0.030818085218805396,0.01824382325959611,confounded,0.0,0.0,0.024083343823929387,reward_population_mae,logger12_balanced,3,78,0.026189285719220825,0.022783186735524805,0.001840473971003402,True
plus,anchor_id,0.04827087241656088,0.02673989206265301,confounded,0.0,0.0,0.03746201835937396,reward_population_rmse,logger12_balanced,3,78,0.03940042899145608,0.034822181967768505,0.002368350697124098,True
plus,anchor_id,0.006366088971395093,-0.010026122158846374,confounded,0.0,0.0,-0.0020514888883551635,signed_balanced_neural_bias,logger12_balanced,3,78,0.0005902305542504752,-0.0036075883696501574,0.0022998584640715742,True
plus,anchor_id,5.138339896021558e-16,3.7432070738376806e-16,confounded,0.0,0.0,4.455125727021461e-16,signed_balanced_population_bias,logger12_balanced,3,78,4.455125727021461e-16,4.455125727021461e-16,0.0,True
base,anchor_id,0.030843806459185108,0.01797291997864432,confounded,0.0,0.0,0.023980965721252995,reward_population_mae,logger1_heavy,3,78,0.025746993708107315,0.02196777373158131,0.0019016948863999799,True
base,anchor_id,0.050166902392937834,0.026377207075885062,confounded,0.0,0.0,0.038056119184702565,reward_population_rmse,logger1_heavy,3,78,0.03929297641488045,0.03647666020206286,0.0014390765175060132,True
minus,anchor_id,0.031208479712086217,0.017800998808105553,confounded,0.0,0.0,0.024032081951169567,reward_population_mae,logger1_heavy,3,78,0.024839954815360936,0.02296464848041751,0.0009642210554786441,True
minus,anchor_id,0.05127713825836802,0.02623171904055588,confounded,0.0,0.0,0.03874751020872435,reward_population_rmse,logger1_heavy,3,78,0.04069653453504495,0.0375542052764463,0.0017020258941215698,True
plus,anchor_id,0.030936288776367674,0.018277186986873115,confounded,0.0,0.0,0.024083343823929362,reward_population_mae,logger1_heavy,3,78,0.026189285719220797,0.022783186735524825,0.0018404739710033916,True
plus,anchor_id,0.04858476614262578,0.026612640664177133,confounded,0.0,0.0,0.03746201835937397,reward_population_rmse,logger1_heavy,3,78,0.039400428991456064,0.03482218196776854,0.0023683506971240737,True
base,anchor_id,0.0,0.0,confounded,0.0,0.0,0.0,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
base,anchor_id,0.0,0.0,confounded,0.0,0.0,0.0,signed_heavy_population_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
minus,anchor_id,0.0,0.0,confounded,0.0,0.0,0.0,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
minus,anchor_id,2.1021883189563727e-16,5.170365560193437e-17,confounded,0.0,0.0,1.3237274524376866e-16,signed_heavy_population_drift,logger1_minus_logger2,3,78,1.3237274524376866e-16,1.3237274524376866e-16,0.0,True
plus,anchor_id,0.0,0.0,confounded,0.0,0.0,0.0,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
plus,anchor_id,1.25255930983351e-16,3.795634272222757e-18,confounded,0.0,0.0,6.26279654916755e-17,signed_heavy_population_drift,logger1_minus_logger2,3,78,6.26279654916755e-17,6.26279654916755e-17,0.0,True
base,anchor_id,0.03080349079278763,0.01796549060808164,confounded,0.0,0.0,0.023980965721252995,reward_population_mae,logger2_heavy,3,78,0.025746993708107315,0.02196777373158131,0.0019016948863999799,True
base,anchor_id,0.04990461341415182,0.02611565689424589,confounded,0.0,0.0,0.038056119184702565,reward_population_rmse,logger2_heavy,3,78,0.03929297641488045,0.03647666020206286,0.0014390765175060132,True
minus,anchor_id,0.03158944971070798,0.017976805965284004,confounded,0.0,0.0,0.02403208195116953,reward_population_mae,logger2_heavy,3,78,0.02483995481536088,0.022964648480417467,0.0009642210554786421,True
minus,anchor_id,0.050811050862804526,0.026255901122607794,confounded,0.0,0.0,0.03874751020872432,reward_population_rmse,logger2_heavy,3,78,0.04069653453504492,0.03755420527644629,0.0017020258941215585,True
plus,anchor_id,0.030935153890157604,0.01830043336290093,confounded,0.0,0.0,0.024083343823929352,reward_population_mae,logger2_heavy,3,78,0.026189285719220797,0.022783186735524798,0.0018404739710034031,True
plus,anchor_id,0.048140008140421554,0.026679507971750126,confounded,0.0,0.0,0.03746201835937396,reward_population_rmse,logger2_heavy,3,78,0.039400428991456064,0.03482218196776853,0.0023683506971240746,True
base,anchor_id,0.0,0.0,independent_latents,0.0,0.0,0.0,base_prediction_range_across_mixtures,all_primary,3,78,0.0,0.0,0.0,True
all,anchor_id,0.0026372134128312594,0.0012915438967236394,independent_latents,0.0,0.0,0.001929088886059896,neural_decision_regret,logger12_balanced,3,78,0.002072192888340616,0.0016667066270727776,0.00022754176300501518,True
all,anchor_id,0.5299145299145299,0.3076923076923077,independent_latents,0.0,0.0,0.41452991452991456,neural_do_ranking_disagreement,logger12_balanced,3,78,0.46153846153846156,0.3333333333333333,0.0706098788113603,True
base,anchor_id,0.030875276481768615,0.017775327539080253,independent_latents,0.0,0.0,0.02396851385174519,reward_population_mae,logger12_balanced,3,78,0.02725270910171651,0.018635047566479192,0.004660006053220371,True
base,anchor_id,0.05041466694367545,0.02660715884706576,independent_latents,0.0,0.0,0.03897645853951758,reward_population_rmse,logger12_balanced,3,78,0.04775122971447319,0.026133884955587015,0.011368274316490727,True
base,anchor_id,0.006881179904440214,-0.010086257962945043,independent_latents,0.0,0.0,-0.0016386824747942723,signed_balanced_neural_bias,logger12_balanced,3,78,-0.0008052667439280726,-0.003067968799365115,0.0012434836031292075,True
base,anchor_id,0.0,0.0,independent_latents,0.0,0.0,0.0,signed_balanced_population_bias,logger12_balanced,3,78,0.0,0.0,0.0,True
minus,anchor_id,0.0327820929223368,0.01872828336682954,independent_latents,0.0,0.0,0.025302649660671094,reward_population_mae,logger12_balanced,3,78,0.0284739325497602,0.02010732147043387,0.004535704440767865,True
minus,anchor_id,0.05462358829282824,0.027608165862175366,independent_latents,0.0,0.0,0.04116132746317155,reward_population_rmse,logger12_balanced,3,78,0.04902272911144936,0.027615753118164044,0.011781214696666844,True
minus,anchor_id,0.006625043552534099,-0.012043736618097023,independent_latents,0.0,0.0,-0.002551168089008712,signed_balanced_neural_bias,logger12_balanced,3,78,-0.0022382220044507325,-0.00306777963214073,0.00045072295113161723,True
minus,anchor_id,3.1552396023561744e-16,2.0635202948081035e-16,independent_latents,0.0,0.0,2.6047540193128674e-16,signed_balanced_population_bias,logger12_balanced,3,78,2.6047540193128674e-16,2.6047540193128674e-16,0.0,True
plus,anchor_id,0.030609745931125736,0.017960039347888004,independent_latents,0.0,0.0,0.023987527850737236,reward_population_mae,logger12_balanced,3,78,0.027072883844374607,0.019420304331075857,0.004035770288972516,True
plus,anchor_id,0.0486377433575913,0.026329995763475195,independent_latents,0.0,0.0,0.03756205277187892,reward_population_rmse,logger12_balanced,3,78,0.046449636302160674,0.026377410726526475,0.010231369324583586,True
plus,anchor_id,0.008029499745476426,-0.008332101930616039,independent_latents,0.0,0.0,-0.00014780414703503296,signed_balanced_neural_bias,logger12_balanced,3,78,0.0010484318077254241,-0.0021772276857950413,0.0017668817036329662,True
plus,anchor_id,3.2311522878006293e-16,2.220327435679306e-16,independent_latents,0.0,0.0,2.71862304747955e-16,signed_balanced_population_bias,logger12_balanced,3,78,2.71862304747955e-16,2.71862304747955e-16,0.0,True
