action,bootstrap_unit,ci_high,ci_low,ci_method,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,sd,seed_max,seed_min,seed_sd,seed_variation_reported_separately,theoretical_slope
base,anchor_id,0.12713462005457243,-0.01026908382252585,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.05807425156722005,balanced_slope_through_origin_increment,balanced,3,78,0.31237410131574095,0.08603281602006094,0.03166473127212033,0.027217123528062017,True,0.0
base,anchor_id,0.11434703102555967,-0.01765182610318508,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.04788194887452004,balanced_slope_with_intercept,balanced,3,78,0.29806317377894437,0.069311438600254,0.021259117414989263,0.024443495895553835,True,0.0
minus,anchor_id,0.4464553530588947,0.33109329638267093,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.38801803796807316,balanced_slope_error,balanced,3,78,0.2630196041877823,0.3938413533393902,0.38385114929934583,0.005197004546488222,True,-0.6
minus,anchor_id,0.855541985716981,0.766660194342283,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.8128824473219048,balanced_slope_r2,balanced,3,78,0.2041942842951731,0.8183061628916056,0.8099202775069817,0.004703740431631171,True,-0.6
minus,anchor_id,-0.19964124702372346,-0.3454513246170615,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,-0.2740360910891479,balanced_slope_through_origin_increment,balanced,3,78,0.332338527907099,-0.25456632203187635,-0.3061725212044069,0.02803806653510857,True,-0.6
minus,anchor_id,-0.1839104723558058,-0.32712136300043027,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,-0.2575830585227659,balanced_slope_with_intercept,balanced,3,78,0.31739319781732417,-0.2381217067105974,-0.27960319438247144,0.020858786798838697,True,-0.6
plus,anchor_id,0.3786589591251565,0.2843205129636978,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.3294086369527589,balanced_slope_error,balanced,3,78,0.21684380358445715,0.3586529629148919,0.3123676016630443,0.025441578056012146,True,0.5999999999999999
plus,anchor_id,0.8627677490246571,0.774682293673043,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.8197390399085064,balanced_slope_r2,balanced,3,78,0.1958627994948719,0.8462883930872085,0.7976909863798035,0.024609414023408674,True,0.5999999999999999
plus,anchor_id,0.46050169863273166,0.32315598201316814,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.39352813668146236,balanced_slope_through_origin_increment,balanced,3,78,0.3172248172927265,0.42991345354440186,0.3221760119597595,0.06179682288495761,True,0.5999999999999999
plus,anchor_id,0.42530491121629443,0.28703575499403544,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.35684638912093086,balanced_slope_with_intercept,balanced,3,78,0.3051760200938353,0.3976488563419185,0.28456572931166085,0.06277026255484439,True,0.5999999999999999
